Image Number,Single Core,Multiple Core,Multiple Threads (100),Multiple Threads (500)
145,7.57695,0.58469,1.71157,4.70975
146,7.60688,0.61536,1.71257,4.71982
147,7.64004,0.65024,1.71257,4.71982
148,7.6876,0.69608,1.71257,4.71982
149,7.72637,0.73044,1.73194,4.71982
150,7.7738,0.80043,1.73294,4.72786
151,7.81641,0.83022,1.73294,4.72992
152,7.85892,0.87617,1.74001,4.72992
153,7.93448,0.95011,1.74758,4.73801
154,8.01027,1.06997,1.74919,4.74003
155,8.06124,1.1283,1.75317,4.74003
156,8.13013,1.21491,1.76358,4.74003
157,8.18711,1.28172,1.77291,4.74806
158,8.26777,1.3504,1.77794,5.20567
159,8.38348,1.46198,1.77794,5.20567
160,8.47231,1.53466,1.78795,5.21457
161,8.58871,1.64032,1.79098,5.22264
162,8.71143,1.78561,1.793,5.22563
163,8.79331,1.84028,1.80296,5.23266
164,8.88925,1.92926,1.80794,5.23468
165,8.92645,0.04946,1.81096,5.23468
166,8.94674,0.06762,1.82328,5.23468
167,9.05447,0.16037,1.82328,5.24474
168,9.20552,0.28508,1.96754,5.24574
169,9.38911,0.41111,1.96854,5.24574
170,9.51565,0.50187,1.96854,5.25499
171,9.97229,0.91027,1.9736,5.26295
172,10.01108,0.94707,1.9736,5.26496
173,10.05634,0.99995,1.97773,5.28409
174,10.09961,1.05033,1.97773,5.28609
175,10.1565,1.09009,1.98781,5.28609
176,10.20776,1.1283,1.99751,5.29517
177,10.25673,1.16501,2.00119,5.29517
178,10.30695,1.20083,2.00368,5.29517
179,10.3559,1.23106,2.00779,5.3032
180,10.4052,1.26949,2.0128,5.3032
181,10.45502,1.30191,2.02927,5.30522
182,10.50306,1.35494,2.03027,5.30522
183,10.55031,1.39109,2.03779,5.31437
184,11.09502,1.84746,2.04594,5.31636
185,11.14071,1.88438,2.04846,5.31877
186,11.3389,2.08934,2.06618,5.31877
187,11.40095,2.16214,2.0727,5.31877
188,11.43634,2.18907,2.07779,5.3239
189,11.46671,2.215,2.09241,5.32542
190,11.5158,2.2519,2.09241,5.327
191,11.56945,2.28732,2.09546,5.33125
192,11.81677,2.4913,2.1057,5.33707
193,11.865,2.53317,2.10669,5.36206
194,11.92394,2.56908,2.11072,5.36644
195,11.96174,2.59601,2.11617,5.38669
196,11.98322,2.60398,2.1177,5.39372
197,12.11699,2.68676,2.1177,5.80086
198,12.12917,2.69525,2.12781,5.80086
199,12.19142,2.72767,2.13795,5.80086
200,12.29597,2.82242,2.14783,5.81274
201,12.39511,2.91486,2.15581,5.83128
202,12.42661,2.93515,2.15783,5.84135
203,12.4458,2.95047,2.16284,5.84135
204,12.48274,2.9807,2.16284,5.85947
205,12.51043,3.01493,2.16796,5.86196
206,12.54554,0.04999,2.17203,5.86196
207,12.57676,0.08025,2.18566,5.86949
208,12.60093,0.11801,2.18887,6.36016
209,12.65045,0.15028,2.18987,6.37683
210,12.68362,0.17496,2.19281,6.38978
