Image Number,Single Core,Multiple Core,Multiple Threads (100),Multiple Threads (500)
631,50.76792,5.37246,8.27141,20.03823
632,50.90615,5.49852,8.34704,20.03923
633,50.9944,5.57862,8.35702,20.05818
634,51.11254,5.67951,8.364,20.06018
635,51.22621,5.75751,8.365,20.10293
636,51.31448,5.81891,8.44479,20.10446
637,51.46175,5.91166,8.44829,20.10692
638,51.56462,5.98858,8.45528,20.10692
639,51.69337,6.09463,8.45779,20.10792
640,51.82856,6.22057,8.46229,20.10792
641,51.92599,6.28655,8.46229,20.10792
642,52.01545,6.36871,8.4724,20.10892
643,52.06341,6.39894,8.4734,20.11331
644,52.08843,6.41564,8.47539,20.1149
645,52.21239,6.50395,8.50789,20.1159
646,52.36212,6.62569,8.56567,20.11789
647,52.51668,6.7292,8.57078,20.11889
648,52.64373,6.84392,8.57377,20.11989
649,53.00924,7.19863,8.57876,20.1258
650,53.03417,7.2249,8.72992,20.12816
651,53.06709,7.27384,8.73183,20.12879
652,53.09904,7.30568,8.73583,20.1313
653,53.136,7.37877,8.86374,20.1313
654,53.17191,7.43873,8.87719,20.1323
655,53.20781,7.48524,8.88824,20.1333
656,53.24275,7.51757,8.89322,20.13429
657,53.29622,7.55831,8.91025,20.13629
658,53.35279,7.59895,8.91718,20.13915
659,53.40372,7.6394,8.91918,20.14578
660,53.45213,7.67981,9.01501,20.14784
661,53.50105,7.72377,9.017,20.14877
662,54.09049,8.11386,9.019,20.27013
663,54.13288,8.17405,9.01999,20.27013
664,54.34461,8.30526,9.01999,20.27013
665,54.42508,8.35359,9.02955,20.27484
666,54.44458,8.37577,9.03154,20.27684
667,54.48987,8.39888,9.12801,20.27797
668,54.54048,4.45843,9.12852,20.28018
669,54.575,4.49743,9.13052,18.55011
670,54.81192,4.65776,9.13603,20.36895
671,54.86212,4.68669,9.13902,20.4615
672,54.90021,4.7196,9.145,20.4625
673,54.94343,4.74752,9.15748,20.46874
674,54.95618,4.7565,9.30483,20.46973
675,55.0652,4.83941,9.30898,20.47472
676,55.07769,4.85292,9.31204,20.47582
677,55.13226,4.89444,9.31303,20.49467
678,55.23091,4.9794,9.31702,19.27913
679,55.36491,5.06357,9.32214,19.28013
680,55.39238,5.08152,9.32912,21.00476
681,55.40911,5.09449,9.34161,21.00875
682,55.44858,5.12045,9.34708,21.00875
683,55.48224,5.14142,9.40073,19.28013
684,55.52244,5.16442,9.40173,21.60478
685,55.55223,5.18842,9.40971,21.60478
686,55.58243,5.21742,9.41071,21.60584
687,55.62979,5.2504,9.4124,21.60677
688,55.69286,5.2814,9.4179,21.60876
689,55.75901,5.31351,9.42188,21.61076
690,55.82723,5.34645,9.43286,21.61076
691,56.74496,5.91151,9.43385,21.61375
692,56.79955,5.94952,9.43684,21.61375
693,56.82669,5.97049,9.43996,21.61475
694,56.87648,6.03351,9.44195,21.61475
695,56.90398,6.06553,9.44295,21.61575
696,56.95575,6.10149,9.44794,21.61674
697,57.00779,6.13748,9.45492,21.61874
698,57.04733,6.17047,9.4639,21.62173
699,57.08972,6.20767,9.46589,19.28983
700,57.13604,6.25407,9.46689,21.62698
701,57.17796,6.2878,9.46789,21.62772
702,57.2393,6.31758,9.47088,21.62772
703,57.30546,6.34476,9.47188,21.62772
704,57.35364,6.3752,9.47786,21.62871
705,57.42032,6.40793,9.48285,21.62923
706,57.46608,6.42808,9.49282,21.63023
707,57.49203,6.44779,9.49482,21.63123
708,57.51277,6.47765,9.50381,21.63144
709,57.53272,4.66031,9.50681,21.63643
710,57.54668,4.67527,9.51939,21.63643
711,57.57618,4.70619,9.52118,19.3857
712,57.84319,4.94386,9.52318,22.41419
713,57.8887,4.99784,9.52517,22.41921
714,57.94185,5.03882,9.52717,22.43516
715,57.99798,5.07683,9.53315,19.5688
716,58.0724,5.16091,9.53814,19.60079
717,58.1489,5.22485,9.53921,19.6162
718,58.20484,5.29683,9.54213,22.52053
719,58.27149,5.38386,9.54412,22.52153
720,58.54402,5.52996,9.54512,19.6172
721,58.61632,5.58885,9.57561,19.61847
722,58.69892,4.90015,9.57761,22.52153
723,58.74919,4.9582,9.5826,22.52321
724,58.9141,5.07314,9.58659,22.52353
725,59.00287,5.13532,9.60158,22.52452
726,59.07742,5.18423,9.60258,22.52652
727,59.12656,5.21519,9.60557,22.52752
728,59.15737,5.23317,9.60656,22.93484
729,59.24122,5.27817,9.61055,22.93783
730,59.28152,5.31016,9.61454,22.94034
731,59.34011,5.35015,9.61654,22.94778
732,59.36964,5.39521,9.62252,23.22768
733,59.45636,5.49818,9.62709,23.59699
734,59.52663,5.56326,9.62809,23.59898
735,59.53272,5.56924,9.63308,23.60059
736,59.56614,5.61519,9.64305,23.60229
737,59.60103,5.6572,9.64505,23.607
738,59.60502,5.66119,9.64804,23.60799
739,59.61957,5.67818,9.65802,23.60999
740,59.64473,5.70117,9.67249,23.61099
741,59.7085,5.77861,9.67419,23.61597
742,59.76542,5.83546,9.67716,23.61648
743,60.30453,6.31872,9.69381,23.62447
744,60.91028,6.86342,9.69544,23.63446
745,61.21038,7.1441,9.70168,23.65344
746,61.26298,7.21824,9.71005,23.65624
747,61.387,7.3383,9.7141,23.83249
748,61.53142,7.39834,9.72321,23.8405
749,61.72423,7.48522,9.73019,23.8405
750,61.87043,7.56354,9.73418,24.01585
751,62.0143,7.64343,9.73817,24.01684
752,62.11663,7.74346,9.74515,24.01684
753,62.19181,7.82348,9.75612,24.01784
754,62.30885,7.91359,9.75863,24.12414
755,62.45077,8.02362,9.98275,24.12414
756,62.55259,8.14373,9.98375,24.12514
757,62.66324,8.22456,9.98692,24.12714
758,62.69119,8.25478,9.99757,24.12814
759,62.73015,8.27494,9.99908,24.13013
760,62.85755,8.36354,10.00471,24.13113
761,62.98103,8.46396,10.01241,24.13512
762,63.12382,8.56768,10.01594,24.1411
763,63.23869,5.46134,10.02773,24.15099
764,63.84168,5.82034,10.03172,24.15199
765,63.91395,5.85031,10.03829,24.22841
766,63.96931,5.89131,10.04782,24.28414
767,64.01119,5.9383,10.0563,24.28614
768,64.06595,5.97633,10.05988,24.28614
769,64.12884,6.01629,10.0729,24.28714
770,64.19693,6.0883,10.0777,24.28813
771,64.28406,6.13227,10.0787,24.28913
772,64.35721,6.17728,10.07969,24.29114
773,64.39182,6.2177,10.0867,24.29213
774,64.42103,6.25401,10.2959,24.29312
775,64.45085,6.29438,10.30388,24.29312
776,64.48642,6.32757,10.31186,24.29412
777,65.3804,6.78255,10.31285,24.29412
778,65.43972,6.82086,10.31485,24.2991
779,65.58426,6.96734,10.31585,24.30836
780,65.64146,7.01272,10.32099,24.30908
781,65.69053,7.03292,10.33794,24.30908
782,65.74936,7.07129,10.35004,24.31007
783,65.82891,7.1127,10.35303,24.31069
784,65.92199,7.16267,10.35773,24.31107
785,66.27056,7.34584,10.36569,24.31107
786,66.3147,7.38261,10.37041,24.31258
787,66.35938,7.41657,10.3724,24.31358
788,66.40192,7.4473,10.3734,24.31458
789,66.41557,7.45745,10.37839,24.73313
790,66.56908,7.54285,10.38138,24.73512
791,66.58118,7.56866,10.38488,24.73712
792,66.62502,7.61263,10.38488,24.73812
793,66.70845,7.6978,10.39536,24.74212
794,66.80584,7.77277,10.40534,24.7451
795,66.83354,7.79038,10.54049,24.7451
796,66.8575,7.80746,10.54178,24.74909
797,66.91196,7.83274,10.54477,24.75009
798,66.94963,7.85251,10.55303,24.75108
799,66.99531,7.87765,10.5697,24.98045
800,67.03455,7.90136,10.57976,24.98145
801,67.07999,7.94274,10.58594,24.98344
802,67.16239,7.98751,10.59003,24.98444
803,67.21805,8.03259,10.69775,24.98544
804,67.28396,5.5079,10.70074,24.98644
805,67.35106,5.5448,10.70274,24.98743
806,68.05158,6.13184,10.70274,25.01143
807,68.08022,6.16783,10.70374,25.01587
808,68.10018,6.19581,10.71072,25.25298
809,68.1351,6.23182,10.71271,25.25797
810,68.15388,6.25507,10.71371,25.29698
811,68.18609,6.28937,10.71821,25.46807
812,68.21697,6.32163,10.7212,25.47506
813,68.25686,6.35492,10.72519,25.48104
814,68.28988,6.38209,10.72918,25.49002
815,68.32918,6.4105,10.73816,25.49101
816,68.36603,6.43519,10.74115,25.50507
817,68.40911,6.46541,10.74414,25.50706
818,68.446,6.50128,10.74813,25.50806
819,68.47104,6.52507,10.75611,25.50906
820,68.50969,6.57204,10.7581,25.51205
821,68.54976,6.59424,10.76209,25.51305
822,68.59869,6.6124,10.76309,25.51504
823,68.62342,6.63459,10.76708,25.51504
824,68.65273,6.65317,10.76908,25.51903
825,68.67427,6.66547,10.79103,25.52003
826,68.74909,5.62188,10.79345,25.52402
827,69.0482,5.88198,10.79526,25.54396
828,69.08719,5.94097,10.8036,25.57306
829,69.12883,5.98493,10.80759,26.95402
830,69.20397,6.03593,10.81558,26.96
831,69.34672,6.14194,10.81662,26.96107
832,69.45671,6.2079,10.82207,26.96107
833,69.52311,6.27124,10.83205,26.96399
834,69.64442,6.33523,10.84518,26.9681
835,69.92343,6.49119,10.84663,26.97109
836,70.0433,6.57407,10.84896,26.98205
837,70.12871,6.64265,10.85594,27.01222
838,70.18971,6.6957,10.85945,27.01222
839,70.40555,6.82788,10.98478,27.01323
840,70.47462,6.88647,10.98977,27.01386
841,70.53683,6.96535,10.99077,27.01529
842,70.57812,7.00976,10.99176,27.01723
843,70.60162,7.02996,10.99276,27.01823
844,70.65583,7.07519,10.99575,27.02421
845,70.70453,7.11066,10.99675,27.03518
846,70.75629,7.15112,11.01172,27.03717
847,70.79423,7.17931,11.01969,27.0455
848,70.87882,7.24492,11.02568,27.0455
849,70.95626,7.30241,11.03565,27.0465
850,70.96279,7.30492,11.04961,27.0485
851,71.03569,7.34525,11.05659,27.05001
852,71.09345,7.39325,11.05813,27.051
853,71.09966,7.4034,11.06065,27.05652
854,71.12387,7.43362,11.06163,27.05949
855,71.15694,7.46393,11.06163,27.06548
856,71.26761,7.54531,11.06761,27.06668
857,71.35575,7.61047,11.06761,27.07836
858,72.18817,6.16044,11.09012,27.07935
859,72.88498,6.68008,11.09311,27.18755
860,73.12466,6.95003,11.23763,27.0953
861,73.1842,7.03497,11.24661,27.32801
862,73.25318,7.14907,11.25318,27.32901
863,73.32121,7.22523,11.25617,27.33
864,73.43259,7.31498,11.25826,27.33818
865,73.53836,7.38509,11.27239,27.84109
866,73.67338,7.45529,11.27538,27.84208
867,73.84179,7.55998,11.28237,27.84509
868,73.95589,7.63426,11.2845,27.84509
869,74.07563,7.73026,11.28735,27.84653
870,74.20885,7.82782,11.28886,27.84738
871,74.29507,7.88826,11.29164,27.85004
872,74.39887,7.96698,11.29317,27.8521
873,74.4333,8.0003,11.29317,27.82861
874,74.45952,8.01739,11.2945,27.85516
875,74.57337,8.10826,11.43445,27.856
876,74.69954,8.2153,11.44243,27.86203
877,74.8593,8.32514,11.54146,27.86302
878,74.97356,8.4167,11.54146,27.86402
879,75.44789,8.74365,11.55144,27.88227
880,75.48308,8.7705,11.55296,27.89817
881,75.53221,8.80586,11.55495,27.89973
882,75.58391,8.8302,11.55695,27.90073
883,75.63411,8.85032,11.56692,27.90173
884,75.68565,8.87711,11.57091,27.90305
885,75.72683,8.91051,11.69102,27.90373
886,75.78242,8.9302,11.7155,27.90387
887,75.8243,8.95606,11.72248,27.90499
888,75.87602,8.98018,11.72448,27.90871
889,75.92168,9.00023,11.72847,27.9149
890,75.98228,9.03014,11.73545,27.91689
891,76.01827,9.06066,11.74442,27.99831
892,76.45597,9.34056,11.7564,28.00164
893,76.50653,9.36288,11.75939,28.00164
894,76.6981,9.47002,11.76338,28.03518
895,76.7397,9.49437,11.7673,28.03703
896,76.76012,9.51251,11.76979,28.04195
897,76.78633,9.52472,11.78019,28.04295
898,76.81581,9.55012,11.78319,28.04295
899,76.84974,6.53266,11.78717,28.04295
900,77.07045,6.73508,11.79256,28.06761
901,77.11398,6.76109,11.79815,28.06907
902,77.15746,6.79131,11.80513,28.07089
903,77.19973,6.84113,11.80712,28.07129
904,77.21077,6.8512,11.81033,28.07329
905,77.32429,6.95812,11.81233,28.12433
906,77.33895,6.97149,11.81732,28.12677
907,77.38833,7.02142,11.82438,28.13638
908,77.49162,7.11169,11.82687,28.13738
909,77.60903,7.20608,11.82887,28.1385
910,77.63948,7.23285,11.83086,28.14051
911,77.66374,7.25307,11.83186,28.14173
912,77.70528,7.29132,11.84087,28.14656
913,77.73431,7.32366,11.84486,28.14756
914,77.78078,7.34628,11.85088,28.14961
915,77.82276,7.36645,11.85188,28.14961
916,77.85979,7.38612,11.8709,28.15161
917,77.9394,7.42457,11.88843,28.15161
918,77.98052,7.45632,11.88895,28.16006
919,78.03569,7.50108,11.89492,28.16006
920,78.06277,7.53621,12.07694,28.16107
921,78.75943,8.14162,12.08006,28.16206
922,78.83122,8.18212,12.08107,28.19717
923,78.86476,8.20227,12.08406,28.19864
924,78.89852,8.24052,12.08506,28.2022
925,78.92017,8.26623,12.09005,28.21936
926,78.94934,8.30098,12.09204,28.23052
927,78.98112,8.33322,12.09703,28.23154
928,79.01079,8.36139,12.10102,28.24862
929,79.03546,8.38681,12.11,28.25087
930,79.06515,8.41174,12.11199,28.25207
931,79.10702,8.43967,12.11798,28.25307
932,79.13292,8.4656,12.24785,28.25307
933,79.16483,8.49053,12.24837,28.2571
934,79.19476,8.51846,12.25135,28.25851
935,79.2267,8.55037,12.26583,28.264
936,79.24565,8.57132,12.26935,28.26987
937,79.2646,8.59526,12.27136,28.27046
938,79.28995,8.6172,12.2824,28.27144
939,79.31887,8.63345,12.44814,28.2748
940,79.33882,6.49279,12.45014,28.27818
941,79.38071,6.54276,12.45129,28.295
942,79.76274,6.79267,12.45417,28.29599
943,79.81825,6.84258,12.4562,28.30212
944,79.86251,6.89148,12.4572,28.30611
945,79.91437,6.94771,12.45924,28.30962
946,80.0141,7.04248,12.46323,28.31085
947,80.08792,7.11777,12.46562,28.31141
948,80.13923,7.19245,12.46912,28.31341
949,80.19612,7.25498,12.47211,28.32065
950,80.31836,7.4165,12.47511,28.32582
951,80.3849,7.50295,12.48209,28.33261
952,80.461,7.58886,12.48408,28.33261
953,80.533,6.73003,12.48608,28.33364
954,80.68132,6.87032,12.48807,28.33466
955,80.74727,6.9268,12.50204,28.33567
956,80.81134,7.00776,12.5225,28.39966
957,80.85543,7.03492,12.53013,28.40066
958,80.8781,7.05807,12.56377,28.40066
959,80.93221,7.10057,12.56576,28.40166
960,80.97384,7.14906,12.58525,28.40166
961,81.01984,7.20505,12.59313,28.40317
962,81.0606,7.25503,12.59345,28.40716
963,81.13989,7.32058,12.59445,28.40816
964,81.22273,7.375,12.59744,28.41408
965,81.23071,7.38316,12.60343,28.42306
966,81.28568,7.42353,12.61041,28.42406
967,81.33895,7.46405,12.61141,28.43014
968,81.34477,7.47007,12.73756,28.43217
969,81.37069,7.48443,12.73955,28.44556
970,81.40939,7.52002,12.74653,28.44556
971,81.51297,7.59381,12.75052,28.44652
972,81.59302,7.68027,12.75252,28.44774
973,82.1967,8.15085,12.75551,28.44774
974,82.94808,8.70325,12.7595,28.44774
975,83.22492,8.90751,12.76848,28.44852
976,83.72129,9.14817,12.77352,28.45051
977,83.76326,9.17046,12.77452,28.45351
978,83.81219,9.20025,12.77651,28.4545
979,83.85826,9.22084,12.77651,28.4555
980,83.90586,9.25008,12.77849,28.45684
981,83.96048,9.27507,12.781,28.46348
982,84.00483,9.30185,12.78849,28.46559
983,84.05966,9.33501,12.79348,28.46958
984,84.12588,9.36285,12.80246,28.47158
985,84.19264,9.39121,12.85702,28.47357
986,84.26057,9.42004,12.96531,28.47889
987,84.32317,9.44178,12.9733,28.47989
988,84.37054,9.46399,12.98052,28.48108
989,84.91529,9.70568,12.98204,28.48294
990,84.9651,9.72576,12.98502,28.48539
991,85.10313,9.81003,12.99604,28.48639
992,85.1407,9.84033,12.99802,28.48838
993,85.16344,9.84994,13.00343,28.49038
994,85.18632,7.63629,13.07929,28.49187
995,85.21717,7.69037,13.0813,28.49237
996,85.24395,7.73026,13.0823,28.49436
997,85.41424,7.91003,13.08429,28.49436
998,85.44405,7.94527,13.08828,28.49491
999,85.47528,7.99023,13.08928,28.50289
1000,85.50319,8.03751,13.09789,28.50489
1001,85.51074,8.04758,13.09889,28.50589
1002,85.64065,8.15888,13.0999,28.50589
1003,85.66282,8.17103,13.10141,28.50589
1004,85.75328,8.20927,13.1034,28.50688
1005,85.90156,8.27533,13.10639,28.50888
1006,86.05039,8.35533,13.12248,28.50988
1007,86.07822,8.37247,13.14002,28.50988
1008,86.09782,8.38778,13.14152,28.51287
1009,86.12895,8.41371,13.14352,28.52085
1010,86.15211,8.43665,13.14551,28.54083
1011,86.17255,8.46058,13.15005,28.55178
1012,86.19494,8.48252,13.15309,28.56901
1013,86.224,8.50247,13.16007,28.57001
1014,86.28288,8.53538,13.1661,28.57898
1015,86.32441,8.55932,13.17508,28.58197
1016,86.37165,8.59423,13.22689,28.58197
1017,86.42523,8.62415,13.23587,28.58297
1018,86.99777,9.09806,13.24237,28.58517
1019,87.0281,9.12056,13.26062,28.58596
1020,87.04912,9.14036,13.2656,28.58699
1021,87.0809,9.16529,13.2656,28.58904
1022,87.11986,9.17855,13.28211,28.58995
1023,87.16933,9.20088,13.28367,28.59095
1024,87.22087,9.23094,13.28624,28.59909
1025,87.25611,9.25027,13.2897,28.60206
1026,87.29667,9.2715,13.2962,28.60306
1027,87.33261,9.29024,13.30598,28.60432
1028,87.3734,9.3099,13.31431,28.60734
1029,87.41819,9.33247,13.3203,28.61135
1030,87.46685,9.35277,13.32329,28.6284
1031,87.51153,9.37295,13.32669,28.6314
1032,87.57008,9.40333,13.33498,28.63239
1033,87.59762,9.41344,13.34052,28.6334
1034,87.62649,9.43367,13.34811,28.6334
1035,87.68127,7.61261,13.3501,28.63439
1036,87.74089,7.63283,13.35616,28.63638
1037,87.78512,7.64952,13.3612,28.63953
1038,87.87444,7.69289,13.36313,28.64037
1039,88.23597,7.9428,13.36467,28.65059
1040,88.2867,8.01279,13.37594,28.65159
1041,88.34812,8.08257,13.37691,28.65259
1042,88.40033,8.13767,13.37791,28.65458
1043,88.51756,8.21777,13.37891,28.6617
1044,88.61488,8.28476,13.4163,28.66265
1045,88.69389,8.35132,13.41929,28.66928
1046,88.83503,8.41216,13.42129,28.66981
1047,89.08012,8.56575,13.42229,28.68792
1048,89.15107,8.10741,13.43286,28.68892
1049,89.30332,8.19255,13.47522,28.75009
1050,89.44355,8.24743,13.48302,28.80371
1051,89.74939,8.36105,13.48796,28.85199
1052,89.88986,8.42787,13.49796,28.85299
1053,90.01925,8.47773,13.51148,28.86192
1054,90.09316,8.51164,13.5295,28.86591
1055,90.13309,8.53358,13.5421,28.89116
1056,90.22159,8.5749,13.54985,28.89415
1057,90.28389,8.60765,13.55496,28.89515
1058,90.37103,8.64572,13.55737,29.03876
1059,90.42448,8.67399,13.55833,29.10872
1060,90.54145,8.73268,13.56435,29.1176
1061,90.61757,8.77918,13.58553,29.17409
1062,90.62484,8.7827,13.58652,29.17908
1063,90.66877,8.80748,13.60927,29.19139
1064,90.72276,8.84288,13.61687,29.19744
1065,90.73416,8.84797,13.62518,29.20257
1066,90.74365,8.86258,13.64833,29.2085
1067,90.78146,8.88292,13.65817,29.26491
1068,90.89158,8.94121,13.67112,29.35349
1069,90.95969,8.98265,13.6761,29.37266
1070,91.57305,9.29324,13.79986,29.38016
1071,92.28973,9.61287,13.89951,29.48883
1072,92.66041,9.77269,13.97541,29.63719
